timestamp,latitude,longitude,northing,easting,zone_letter,zone_number,elevation
2017-02-23 17:48:17,-24.937212187800004,-51.391262859099996,460497.53811602195,7241947.759933695,J,22,873.28
2017-02-23 17:48:18,-24.937205146999997,-51.3912561536,460498.2128751026,7241948.541505929,J,22,873.28
2017-02-23 17:48:22,-24.937175055999997,-51.391236623699996,460500.17506906734,7241951.87913887,J,22,874.13
2017-02-23 17:48:27,-24.9371304642,-51.3912092987,460502.91965442884,7241956.824700902,J,22,874.14
2017-02-23 17:48:42,-24.9370145425,-51.3911278266,460511.10833848536,7241969.684309262,J,22,875.92
2017-02-23 17:48:52,-24.936931142600002,-51.3910631184,460517.6148723164,7241978.937925203,J,22,875.89
2017-02-23 17:49:08,-24.9368070066,-51.3909671456,460527.2649977467,7241992.711300001,J,22,876.67
2017-02-23 17:49:23,-24.9367160629,-51.3909093942,460533.0667723062,7242002.79820705,J,22,878.44
2017-02-23 17:49:37,-24.936662586399997,-51.390846027100004,460539.4474652516,7242008.7380250245,J,22,879.25
2017-02-23 17:49:49,-24.936629897,-51.39078115109999,460545.9871256908,7242012.376536841,J,22,880.73
2017-02-23 17:50:05,-24.9365363549,-51.3907591067,460548.18300917995,7242022.740788629,J,22,880.75
2017-02-23 17:50:19,-24.936418589200002,-51.3907114137,460552.96074604744,7242035.794747738,J,22,881.52
2017-02-23 17:50:34,-24.936304763000003,-51.3906493876,460559.18686178315,7242048.416646782,J,22,882.4
2017-02-23 17:50:43,-24.936278108499998,-51.3906393293,460560.1938958012,7242051.371000116,J,22,882.39
2017-02-23 17:50:47,-24.936254723,-51.3906735275,460556.73369136214,7242053.9505345635,J,22,882.37
2017-02-23 17:51:02,-24.9362346064,-51.3907950651,460544.4564564542,7242056.142749855,J,22,882.38
2017-02-23 17:51:16,-24.9361885898,-51.3909203745,460531.7901543718,7242061.201747657,J,22,882.35
2017-02-23 17:51:24,-24.936163946999997,-51.3909922913,460524.52134677226,7242063.909538772,J,22,882.36
2017-02-23 17:51:40,-24.9361025915,-51.3911460154,460508.9812979906,7242070.658726997,J,22,882.38
2017-02-23 17:51:41,-24.936094041900002,-51.391152301800005,460508.34387703397,7242071.603591394,J,22,882.39
2017-02-23 17:52:00,-24.9359334446,-51.391206532700004,460502.81735114736,7242089.370657302,J,22,882.4
2017-02-23 17:52:16,-24.9358663056,-51.3913151622,460491.82832963974,7242096.773334974,J,22,882.39
2017-02-23 17:52:33,-24.935743845999998,-51.391465868800005,460476.57339486224,7242110.289378395,J,22,882.37
2017-02-23 17:52:38,-24.9357064627,-51.3915053476,460472.57554567186,7242114.417322637,J,22,879.96
2017-02-23 17:52:53,-24.9356135912,-51.3916069362,460462.28915259003,7242124.671366505,J,22,878.99
2017-02-23 17:52:56,-24.935613172100002,-51.3916064333,460462.3397935416,7242124.717919467,J,22,879.0
2017-02-23 17:52:58,-24.935614178,-51.391604170200004,460462.56860559504,7242124.607195284,J,22,879.0
2017-02-23 17:53:00,-24.9356151838,-51.391600733599994,460462.9158985914,7242124.496823583,J,22,879.06
2017-02-23 17:53:03,-24.9356151,-51.39159654270001,460463.3390008866,7242124.507321963,J,22,879.06
2017-02-23 17:53:05,-24.9356161896,-51.3915946148,460463.5339965831,7242124.387232203,J,22,875.6
